1	1	102.6	2
2	2	92.15	2
3	3	171	1
4	4	70.3	1
5	5	67.45	1
6	6	129.2	1
7	7	118.75	2
8	8	162.45	1
9	9	166.25	1
10	10	185.25	1
11	11	0	1
12	12	0	1
13	13	251.75	3
14	14	184.3	2
15	15	301.15	2
16	16	95	2
17	17	0	1
18	18	316.35	2
19	19	171.95	1
20	20	121.6	1
21	21	0	2
22	22	0	2
23	23	0	2
24	24	0	1
25	25	113.4	2
26	26	101.85	2
27	27	189	1
28	28	77.7	1
29	29	74.55	1
30	30	142.8	1
31	31	131.25	2
32	32	179.55	1
33	33	183.75	1
34	34	204.75	1
35	35	0	1
36	36	0	1
37	37	278.25	2
38	38	203.7	2
39	39	332.85	2
40	40	105	2
41	41	0	1
42	42	349.65	2
43	43	190.05	1
44	44	134.4	1
45	45	0	2
46	46	0	2
47	47	0	2
48	48	0	1
49	49	108	2
50	50	97	2
51	51	180	1
52	52	74	1
53	53	71	1
54	54	136	1
55	55	125	2
56	56	171	1
57	57	175	1
58	58	195	1
59	59	0	1
60	60	0	1
61	61	265	2
62	62	194	2
63	63	317	2
64	64	100	2
65	65	0	1
66	66	333	2
67	67	181	1
68	68	128	1
69	69	0	2
70	70	0	2
71	71	0	2
72	72	0	1
73	73	0	1
