1	1	1	2	0.0139	150	1
2	2	1	3	0.2112	150	1
3	3	1	5	0.0845	150	1
4	4	2	4	0.1267	150	1
5	5	2	6	0.192	150	1
6	6	3	9	0.119	150	1
7	7	3	24	0.0839	150	1
8	8	4	9	0.1037	150	1
9	9	5	10	0.0883	150	1
10	10	6	10	0.0605	150	1
11	11	7	8	0.0614	150	1
12	12	7	27	0.161	150	1
13	13	8	9	0.1651	150	1
14	14	8	10	0.1651	150	1
15	15	9	11	0.0839	200	1
16	16	9	12	0.0839	200	1
17	17	10	11	0.0839	200	1
18	18	10	12	0.0839	175	1
19	19	11	13	0.0476	200	1
20	20	11	14	0.0418	225	1
21	21	12	13	0.0476	225	1
22	22	12	23	0.0966	225	1
23	23	13	23	0.0865	225	1
24	24	13	39	0.075	225	1
25	25	14	16	0.0389	225	1
26	26	15	16	0.0173	225	1
27	27	15	21	0.0245	450	2
28	28	15	24	0.0519	225	1
29	29	16	17	0.0259	225	1
30	30	16	19	0.0231	225	1
31	31	17	18	0.0144	225	1
32	32	17	22	0.1053	225	1
33	33	18	21	0.013	450	2
34	34	19	20	0.0198	450	2
35	35	20	23	0.0108	350	2
36	36	21	22	0.0678	225	1
37	37	23	41	0.074	225	1
38	38	25	26	0.0139	150	1
39	39	25	27	0.2112	150	1
40	40	25	29	0.0845	150	1
41	41	26	28	0.1267	150	1
42	42	26	30	0.192	150	1
43	43	27	33	0.119	150	1
44	44	27	48	0.0839	150	1
45	45	28	33	0.1037	150	1
46	46	29	34	0.0883	150	1
47	47	30	34	0.0605	150	1
48	48	31	32	0.0614	150	1
49	49	32	33	0.1651	150	1
50	50	32	34	0.1651	150	1
51	51	33	35	0.0839	200	1
52	52	33	36	0.0839	200	1
53	53	34	35	0.0839	200	1
54	54	34	36	0.0839	175	1
55	55	35	37	0.0476	200	1
56	56	35	38	0.0418	225	1
57	57	36	37	0.0476	225	1
58	58	36	47	0.0966	225	1
59	59	37	47	0.0865	225	1
60	60	38	40	0.059	300	1
61	61	39	40	0.0173	225	1
62	62	39	45	0.0245	450	2
63	63	39	48	0.0519	225	1
64	64	40	41	0.0259	225	1
65	65	40	43	0.0231	225	1
66	66	41	42	0.0144	225	1
67	67	41	46	0.1053	225	1
68	68	42	45	0.013	450	2
69	69	43	44	0.0198	450	2
70	70	44	47	0.0108	350	2
71	71	45	46	0.0678	225	1
72	72	49	50	0.0139	150	1
73	73	49	51	0.2112	150	1
74	74	49	53	0.0845	150	1
75	75	50	52	0.1267	150	1
76	76	50	54	0.192	150	1
77	77	51	57	0.119	150	1
78	78	51	72	0.0839	150	1
79	79	52	57	0.1037	150	1
80	80	53	58	0.0883	150	1
81	81	54	58	0.0605	150	1
82	82	55	56	0.0614	150	1
83	83	56	57	0.1651	150	1
84	84	56	58	0.1651	150	1
85	85	57	59	0.0839	200	1
86	86	57	60	0.0839	200	1
87	87	58	59	0.0839	200	1
88	88	58	60	0.0839	175	1
89	89	59	61	0.0476	200	1
90	90	59	62	0.0418	225	1
91	91	60	61	0.0476	225	1
92	92	60	71	0.0966	225	1
93	93	61	71	0.0865	225	1
94	94	62	64	0.059	300	1
95	95	63	64	0.0173	225	1
96	96	63	69	0.0245	450	2
97	97	63	72	0.0519	225	1
98	98	64	65	0.0259	225	1
99	99	64	67	0.0231	225	1
100	100	65	66	0.0144	225	1
101	101	65	70	0.1053	225	1
102	102	66	69	0.013	450	2
103	103	67	68	0.0198	450	2
104	104	68	71	0.0108	350	2
105	105	69	70	0.0678	225	1
106	106	73	21	0.097	300	1
107	107	66	47	0.104	300	1
108	108	71	73	0.009	1000	1
