1	1	1	20	16	130	50
2	2	1	20	16	130	50
3	3	1	76	15.2	16.0811	50
4	4	1	76	15.2	16.0811	50
5	5	2	20	16	130	50
6	6	2	20	16	130	50
7	7	2	76	15.2	16.0811	50
8	8	2	76	15.2	16.0811	50
9	9	7	100	25	43.6615	50
10	10	7	100	25	43.6615	50
11	11	7	100	25	43.6615	50
12	12	13	197	69	48.5804	50
13	13	13	197	69	48.5804	50
14	14	13	197	69	48.5804	50
15	15	14	0	0	0	50
16	16	15	12	2.4	56.564	50
17	17	15	12	2.4	56.564	50
18	18	15	12	2.4	56.564	50
19	19	15	12	2.4	56.564	50
20	20	15	12	2.4	56.564	50
21	21	15	155	54.3	12.3883	50
22	22	16	155	54.3	12.3883	50
23	23	18	400	100	4.4231	50
24	24	21	400	100	4.4231	50
25	25	22	50	10	0	50
26	26	22	50	10	0	50
27	27	22	50	10	0	50
28	28	22	50	10	0	50
29	29	22	50	10	0	50
30	30	22	50	10	0	50
31	31	23	155	54.3	12.3883	50
32	32	23	155	54.3	12.3883	50
33	33	23	350	140	11.8495	50
34	34	25	20	16	130	50
35	35	25	20	16	130	50
36	36	25	76	15.2	16.0811	50
37	37	25	76	15.2	16.0811	50
38	38	26	20	16	130	50
39	39	26	20	16	130	50
40	40	26	76	15.2	16.0811	50
41	41	26	76	15.2	16.0811	50
42	42	31	100	25	43.6615	50
43	43	31	100	25	43.6615	50
44	44	31	100	25	43.6615	50
45	45	37	197	69	48.5804	50
46	46	37	197	69	48.5804	50
47	47	37	197	69	48.5804	50
48	48	38	0	0	0	50
49	49	39	12	2.4	56.564	50
50	50	39	12	2.4	56.564	50
51	51	39	12	2.4	56.564	50
52	52	39	12	2.4	56.564	50
53	53	39	12	2.4	56.564	50
54	54	39	155	54.3	12.3883	50
55	55	40	155	54.3	12.3883	50
56	56	42	400	100	4.4231	50
57	57	45	400	100	4.4231	50
58	58	46	50	10	0	50
59	59	46	50	10	0	50
60	60	46	50	10	0	50
61	61	46	50	10	0	50
62	62	46	50	10	0	50
63	63	46	50	10	0	50
64	64	47	155	54.3	12.3883	50
65	65	47	155	54.3	12.3883	50
66	66	47	350	140	11.8495	50
67	67	49	20	16	130	50
68	68	49	20	16	130	50
69	69	49	76	15.2	16.0811	50
70	70	49	76	15.2	16.0811	50
71	71	50	20	16	130	50
72	72	50	20	16	130	50
73	73	50	76	15.2	16.0811	50
74	74	50	76	15.2	16.0811	50
75	75	55	100	25	43.6615	50
76	76	55	100	25	43.6615	50
77	77	55	100	25	43.6615	50
78	78	61	197	69	48.5804	50
79	79	61	197	69	48.5804	50
80	80	61	197	69	48.5804	50
81	81	62	0	0	0	50
82	82	63	12	2.4	56.564	50
83	83	63	12	2.4	56.564	50
84	84	63	12	2.4	56.564	50
85	85	63	12	2.4	56.564	50
86	86	63	12	2.4	56.564	50
87	87	63	155	54.3	12.3883	50
88	88	64	155	54.3	12.3883	50
89	89	66	400	100	4.4231	50
90	90	69	400	100	4.4231	50
91	91	70	50	10	0	50
92	92	70	50	10	0	50
93	93	70	50	10	0	50
94	94	70	50	10	0	50
95	95	70	50	10	0	50
96	96	70	50	10	0	50
97	97	71	155	54.3	12.3883	50
98	98	71	155	54.3	12.3883	50
99	99	71	350	140	11.8495	50
